mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
人事室_content_ 元智大學 資訊傳播學系 誠徵專任_專案教師 (刊登日期：1_564.md,元智大學 資訊傳播學系 誠徵專任/專案教師 (刊登日期：111.07.22),https://www.yzu.edu.tw/admin/ho/index.php/tw/111-07-22,1,超連結（檔案）,files/工作刊登/元智大學資訊傳播學系徵聘教師基本資料表1110721.doc,files/工作刊登/元智大學資訊傳播學系徵聘教師基本資料表1110721.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\工作刊登\元智大學資訊傳播學系徵聘教師基本資料表1110721.doc,admin/ho/files/工作刊登/元智大學資訊傳播學系徵聘教師基本資料表1110721.doc,69120,
人事室_content_ 元智大學 電機工程學系（丙組）誠徵專任教師  (刊登日期：_574.md,元智大學 電機工程學系（丙組）誠徵專任教師  (刊登日期：111.3.28),https://www.yzu.edu.tw/admin/ho/index.php/tw/111-3-28,1,超連結（檔案）,files/工作刊登/元智大學電機工程學系丙組徵聘教師基本資料表-1111起聘.doc,files/工作刊登/元智大學電機工程學系丙組徵聘教師基本資料表-1111起聘.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\工作刊登\元智大學電機工程學系丙組徵聘教師基本資料表-1111起聘.doc,admin/ho/files/工作刊登/元智大學電機工程學系丙組徵聘教師基本資料表-1111起聘.doc,81408,
人事室_content_ 元智大學工業工程與管理學系 誠徵專任教師 (刊登日期：11_566.md,元智大學工業工程與管理學系 誠徵專任教師 (刊登日期：111.06.24),https://www.yzu.edu.tw/admin/ho/index.php/tw/111-06-24,2,超連結（檔案）,files/%E5%B7%A5%E4%BD%9C%E5%88%8A%E7%99%BB/%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E5%B7%A5%E7%A8%8B%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E5%BE%B5%E8%81%98%E6%95%99%E5%B8%AB%E5%9F%BA%E6%9C%AC%E8%B3%87%E6%96%99%E8%A1%A8-111%E5%AD%B8%E5%B9%B4%E5%BA%A6.doc,files/工作刊登/元智大學工業工程與管理學系徵聘教師基本資料表-111學年度.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\工作刊登\元智大學工業工程與管理學系徵聘教師基本資料表-111學年度.doc,admin/ho/files/工作刊登/元智大學工業工程與管理學系徵聘教師基本資料表-111學年度.doc,67072,
人事室_content_【轉知】 桃園市政府客家事務局 函， 有關本府員工參加客語能_386.md,【轉知】 桃園市政府客家事務局 函， 有關本府員工參加客語能力認證合格申請獎勵禮券一案,https://www.yzu.edu.tw/admin/ho/index.php/tw/2019-11-20-01-15-26,3,超連結（檔案）,files/最新消息/桃園市政府鼓勵所屬機關學校及事業機構員工提升客語能力作業要點.doc,files/最新消息/桃園市政府鼓勵所屬機關學校及事業機構員工提升客語能力作業要點.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\最新消息\桃園市政府鼓勵所屬機關學校及事業機構員工提升客語能力作業要點.doc,admin/ho/files/最新消息/桃園市政府鼓勵所屬機關學校及事業機構員工提升客語能力作業要點.doc,90624,
人事室_content_【轉知】 桃園市政府教育局 函，有關彰化縣政府辦理「109年_392.md,【轉知】 桃園市政府教育局 函，有關彰化縣政府辦理「109年第60屆中小學科學展覽會」 作品評審作業評審委員推薦一案,https://www.yzu.edu.tw/admin/ho/index.php/tw/109-60,1,超連結（檔案）,files/最新消息/中華民國第四十五屆中小學科學展覽會中小學教師評審委員推薦名單.odt,files/最新消息/中華民國第四十五屆中小學科學展覽會中小學教師評審委員推薦名單.odt,.odt,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\最新消息\中華民國第四十五屆中小學科學展覽會中小學教師評審委員推薦名單.odt,admin/ho/files/最新消息/中華民國第四十五屆中小學科學展覽會中小學教師評審委員推薦名單.odt,9870,
人事室_content_【轉知】工作場所性騷擾調查專業人才之知能培訓_706.md,【轉知】工作場所性騷擾調查專業人才之知能培訓,https://www.yzu.edu.tw/admin/ho/index.php/tw/zhuan-zhi-wei-ban-li-gong-zuo-chang-suo-xing-sao-rao-diao-cha-zhuan-ye-ren-cai-zhi-zhi-neng-pei-xun-bing-jian-li-ren-cai-zi-liao-ku-qing-cha-zhao-hui-fu,2,超連結（檔案）,files/最新消息/附表_工作場所性騷擾調查專業人士培訓及專業人才庫基本資料表.odt,files/最新消息/附表_工作場所性騷擾調查專業人士培訓及專業人才庫基本資料表.odt,.odt,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\最新消息\附表_工作場所性騷擾調查專業人士培訓及專業人才庫基本資料表.odt,admin/ho/files/最新消息/附表_工作場所性騷擾調查專業人士培訓及專業人才庫基本資料表.odt,11847,
人事室_content_【轉知】考選部書函，為充實本部國家考試典試人力資料庫，請於（_766.md,【轉知】考選部書函，為充實本部國家考試典試人力資料庫，請於（113）年6月5日前惠予推薦具有行 政學領域專長並符合典試法第5條至第7條資格之學者專家。,https://www.yzu.edu.tw/admin/ho/index.php/tw/zhuan-zhi-kao-xuan-bu-shu-han-wei-chong-shi-ben-bu-guo-jia-kao-shi-dian-shi-ren-li-zi-liao-ku-qing-yu-113-nian6yue5ri-qian-hui-yu-tui-jian-ju-you-xing-zheng-xue-ling-yu-zhuan-zhang-bing-fu-he-dian-shi-fa-di5tiao-zhi-di7tiao-zi-ge-zhi-xue-zhe-zhuan-jia,1,超連結（檔案）,files/最新消息/國家考試典試人力調查表.odt,files/最新消息/國家考試典試人力調查表.odt,.odt,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\最新消息\國家考試典試人力調查表.odt,admin/ho/files/最新消息/國家考試典試人力調查表.odt,46800,
人事室_content_【轉知】教育部 函，「財團法人中華民國私立學校教職員退休撫卹_507.md,【轉知】教育部 函，「財團法人中華民國私立學校教職員退休撫卹離職資遣儲 金管理委員會組織及管理辦法」第6條、第10條修正條文,https://www.yzu.edu.tw/admin/ho/index.php/tw/6-10,1,超連結（檔案）,files/最新消息/私校退撫/財團法人中華民國私立學校教職員退休撫卹離職資遣儲金管理委員會組織及管理辦法第六條第十條修正條文.odt,files/最新消息/私校退撫/財團法人中華民國私立學校教職員退休撫卹離職資遣儲金管理委員會組織及管理辦法第六條第十條修正條文.odt,.odt,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\最新消息\私校退撫\財團法人中華民國私立學校教職員退休撫卹離職資遣儲金管理委員會組織及管理辦法第六條第十條修正條文.odt,admin/ho/files/最新消息/私校退撫/財團法人中華民國私立學校教職員退休撫卹離職資遣儲金管理委員會組織及管理辦法第六條第十條修正條文.odt,10550,
人事室_content_【轉知】教育部「各級學校資深優良教師獎勵要點」修正_935.md,【轉知】教育部「各級學校資深優良教師獎勵要點」修正,https://www.yzu.edu.tw/admin/ho/index.php/tw/zhuan-zhi-jiao-yu-bu-ge-ji-xue-xiao-zi-shen-you-liang-jiao-shi-jiang-li-yao-dian-xiu-zheng,2,超連結（檔案）,files/最新消息/各級學校資深優良教師獎勵要點修正規定.odt,files/最新消息/各級學校資深優良教師獎勵要點修正規定.odt,.odt,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\最新消息\各級學校資深優良教師獎勵要點修正規定.odt,admin/ho/files/最新消息/各級學校資深優良教師獎勵要點修正規定.odt,11799,
人事室_content_【轉知】教育部函，第27屆國家講座申請案，自111年11月1_531.md,【轉知】教育部函，第27屆國家講座申請案，自111年11月14日起至111年12月30日止受理推薦,https://www.yzu.edu.tw/admin/ho/index.php/tw/111-11-14-111-12-30,1,超連結（檔案）,files/最新消息/第27屆教育部國家講座主持人推薦書.odt,files/最新消息/第27屆教育部國家講座主持人推薦書.odt,.odt,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admin\ho\files\最新消息\第27屆教育部國家講座主持人推薦書.odt,admin/ho/files/最新消息/第27屆教育部國家講座主持人推薦書.odt,14760,
