mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
人事室_content_ 【轉知】桃園市政府教育局函，教育部國民及學前教育署與國泰人_291.md,【轉知】桃園市政府教育局函，教育部國民及學前教育署與國泰人壽保險服份有限公司共同製作教師節敬師影片「人生的可能性」,https://www.yzu.edu.tw/admin/ho/index.php/tw/?option=com_content&view=article&id=291,1,超連結（檔案）,ht%20tps:/youtu.be/izi_0Q5qrSg,ht tps:/youtu.be/izi_0Q5qrSg,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_ 元智大學 電機工程學系（丙組）誠徵專任教師  (刊登日期：_574.md,元智大學 電機工程學系（丙組）誠徵專任教師  (刊登日期：111.3.28),https://www.yzu.edu.tw/admin/ho/index.php/tw/111-3-28,5,超連結（檔案）,index.php/tw/2016-03-17-06-14-27,index.php/tw/2016-03-17-06-14-27,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_ 元智大學工業工程與管理學系 誠徵專任教師 (刊登日期：11_566.md,元智大學工業工程與管理學系 誠徵專任教師 (刊登日期：111.06.24),https://www.yzu.edu.tw/admin/ho/index.php/tw/111-06-24,6,超連結（檔案）,index.php/tw/2016-03-17-06-14-27,index.php/tw/2016-03-17-06-14-27,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_ 元智大學工業工程與管理學系 誠徵專任教師 (刊登日期：11_566.md,元智大學工業工程與管理學系 誠徵專任教師 (刊登日期：111.06.24),https://www.yzu.edu.tw/admin/ho/index.php/tw/111-06-24,7,超連結（檔案）,index.php/tw/2016-03-17-06-14-27,index.php/tw/2016-03-17-06-14-27,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_【2024遠東精神獎】甄選辦法，敬請全校教職員踴躍申請或推薦_770.md,【2024遠東精神獎】甄選辦法，敬請全校教職員踴躍申請或推薦 (即日起至 2024 年 7 月17日止),https://www.yzu.edu.tw/admin/ho/index.php/tw/2024yuan-dong-jing-shen-jiang-zhen-xuan-ban-fa-jing-qing-quan-xiao-jiao-zhi-yuan-yong-yue-shen-qing-huo-tui-jian-ji-ri-qi-zhi-2024-nian-7-yue17ri-zhi,5,圖片,遠東精神獎提報案件數說明,遠東精神獎提報案件數說明,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_【性別平等教育相關法規宣導】校園性別事件相關之教育人員法令_521.md,【性別平等教育相關法規宣導】校園性別事件相關之教育人員法令,https://www.yzu.edu.tw/admin/ho/index.php/tw/2022-09-13-03-20-46,1,超連結（檔案）,index.php/tw/2016-03-18-03-47-16/2018-10-19-01-58-16,index.php/tw/2016-03-18-03-47-16/2018-10-19-01-58-16,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_【性別平等教育相關法規宣導】校園性別事件相關之教育人員法令_667.md,【性別平等教育相關法規宣導】校園性別事件相關之教育人員法令,https://www.yzu.edu.tw/admin/ho/index.php/tw/xing-bie-ping-deng-jiao-yu-xiang-guan-fa-gui-xuan-dao-xiao-yuan-xing-bie-shi-jian-xiang-guan-zhi-jiao-yu-ren-yuan-fa-ling,1,超連結（檔案）,index.php/tw/2016-03-18-03-47-16/2018-10-19-01-58-16,index.php/tw/2016-03-18-03-47-16/2018-10-19-01-58-16,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_【性別平等教育相關法規宣導】校園性別事件相關之教育人員法令_667.md,【性別平等教育相關法規宣導】校園性別事件相關之教育人員法令,https://www.yzu.edu.tw/admin/ho/index.php/tw/xing-bie-ping-deng-jiao-yu-xiang-guan-fa-gui-xuan-dao-xiao-yuan-xing-bie-shi-jian-xiang-guan-zhi-jiao-yu-ren-yuan-fa-ling,2,超連結（檔案）,index.php/tw/2016-03-18-03-47-16/2016-03-18-09-09-19,index.php/tw/2016-03-18-03-47-16/2016-03-18-09-09-19,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_【轉知】為配合自然人憑證系統虛擬化上線作業，內政部自然人憑證_439.md,【轉知】為配合自然人憑證系統虛擬化上線作業，內政部自然人憑證用戶身分確認服務系統，預定於109年11月27日 19：00至109年11月29日24：00暫停服務。,https://www.yzu.edu.tw/admin/ho/index.php/tw/109-11-27-19-00-109-11-29-24-00,1,超連結（檔案）,icsmoica.moi.gov.tw,icsmoica.moi.gov.tw,.tw,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
人事室_content_110學年度第2學期全校各委員會委員名單_491.md,110學年度第2學期全校各委員會委員名單,https://www.yzu.edu.tw/admin/ho/index.php/tw/110-5,2,超連結（檔案）,index.php/tw/2016-03-17-06-57-02,index.php/tw/2016-03-17-06-57-02,,False,not_file_or_malformed,missing_recheck:plain_text_or_navigation_label,missing_recheck,high_for_exclusion,0,,,0,
