mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
人事室_content_112學年度全校各委員會委員名單_651.md,112學年度全校各委員會委員名單,https://www.yzu.edu.tw/admin/ho/index.php/tw/112xue-nian-du-quan-xiao-ge-wei-yuan-hui,28,超連結（檔案）,files/112學年度全校各委員會公告/112-113學年度計畫暨預算審查委員會委員名單.pdf,files/112學年度全校各委員會公告/112-113學年度計畫暨預算審查委員會委員名單.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
人事室_content_中國語文學系_所  115-1學期誠徵專案教師(一年期)1名_1024.md,中國語文學系/所  115-1學期誠徵專案教師(一年期)1名 (刊登日期：115.3.9),https://www.yzu.edu.tw/admin/ho/index.php/tw/115yuan-zhi-da-xue-zhong-guo-yu-wen-xue-xi-suo-zhuan-an-jiao-shi-yi-nian-qi-zheng-pin-gong-gao-kan-deng-ri-qi-115-3-9,1,超連結（檔案）,files/工作刊登/中語系徵聘教師基本資料表.pdf,files/工作刊登/中語系徵聘教師基本資料表.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
人事室_content_中國語文學系_所  115-1學期誠徵專案教師(一年期)1名_1024.md,中國語文學系/所  115-1學期誠徵專案教師(一年期)1名 (刊登日期：115.3.9),https://www.yzu.edu.tw/admin/ho/index.php/tw/115yuan-zhi-da-xue-zhong-guo-yu-wen-xue-xi-suo-zhuan-an-jiao-shi-yi-nian-qi-zheng-pin-gong-gao-kan-deng-ri-qi-115-3-9,3,超連結（檔案）,files/表單下載/22_元智大學教師資格審查履歷表.docx,files/表單下載/22_元智大學教師資格審查履歷表.docx,.docx,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
人事室_content_新版行政單位網頁標題_2.md,新版行政單位網頁標題,- **文章簡介**:,4,圖片,images/banners/banner01.png,images/banners/banner01.png,.png,True,ambiguous,suffix_multiple_matches,initial_scan_unresolved,needs_review,13,D:\Programming\web_ocr2md\www\www\aboutyzu\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\aa\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\bo\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\ga\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\ho\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\is\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\pr\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\rd\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\so\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admin\st\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\admissions\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\alumni\images\banners\banner01.png | D:\Programming\web_ocr2md\www\www\library\images\banners\banner01.png,,0,
人事室_content_線上自主學習課程_628.md,線上自主學習課程,https://www.yzu.edu.tw/admin/ho/index.php/tw/xian-shang-zi-zhu-xue-xi-ke-cheng,2,超連結（檔案）,files/性別平等/111學年度多元性別者權益保障系列_教育練課程.pdf,files/性別平等/111學年度多元性別者權益保障系列_教育練課程.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
人事室_content_線上自主學習課程_628.md,線上自主學習課程,https://www.yzu.edu.tw/admin/ho/index.php/tw/xian-shang-zi-zhu-xue-xi-ke-cheng,4,超連結（檔案）,files/性別平等/111學年度多元性別者權益保障系列_教育練課程.pdf,files/性別平等/111學年度多元性別者權益保障系列_教育練課程.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
人事室_content_識別證 _ 網路帳號_104.md,識別證 / 網路帳號,https://www.yzu.edu.tw/admin/ho/index.php/tw/?option=com_content&view=article&id=104,1,超連結（檔案）,files/forms/email_account.pdf,files/forms/email_account.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
人事室_content_識別證 _ 網路帳號_104.md,識別證 / 網路帳號,https://www.yzu.edu.tw/admin/ho/index.php/tw/?option=com_content&view=article&id=104,2,超連結（檔案）,files/forms/email_account.pdf,files/forms/email_account.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
人事室_content_Beijing Normal University -Hon_186.md,Beijing Normal University -Hong Kong Baptist University United International College(UIC),- **文章簡介**: Search for President of （opens in new window）,1,超連結（網站）,http://www.yzu.edu.tw/admin/ho/files/%E5%8C%97%E4%BA%AC%E5%B8%88%E7%AF%84%E5%A4%A7%E5%AD%B8%E9%A6%99%E6%B8%AF%E6%B5%B8%E6%9C%83%E5%A4%A7%E5%AD%B8-%E8%81%AF%E5%90%88%E5%9C%8B%E9%9A%9B%E5%AD%B8%E9%99%A2.pdf,http://www.yzu.edu.tw/admin/ho/files/北京师範大學香港浸會大學-聯合國際學院.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
元智首頁_content_《再生，不只是電腦》榮獲優選　元智志工以行動縮短數位落差_410.md,《再生，不只是電腦》榮獲優選　元智志工以行動縮短數位落差,https://www.yzu.edu.tw/index.php/tw/20260204-3,1,圖片,images/1.jpg,images/1.jpg,.jpg,True,ambiguous,suffix_multiple_matches,initial_scan_unresolved,needs_review,6,D:\Programming\web_ocr2md\www\www\admin\aa\images\1.jpg | D:\Programming\web_ocr2md\www\www\admin\bo\images\1.jpg | D:\Programming\web_ocr2md\www\www\admin\gao\images\1.jpg | D:\Programming\web_ocr2md\www\www\admin\rd\images\1.jpg | D:\Programming\web_ocr2md\www\www\admin\st\images\1.jpg | D:\Programming\web_ocr2md\www\www\home\images\1.jpg,,0,
